,base,cloudiness,cod,latitude,longitude,dt,id,main.grnd_level,humidity,main.pressure,main.sea_level,temperature,main.temp_max,main.temp_min,message,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,windspeed
66,stations,20.0,200,6.8,-58.16,1562639953.0,3378644.0,,88.0,1016.0,,299.97,301.15,298.15,,Georgetown,,,GY,8767.0,0.0077,1562578952.0,1562623945.0,1.0,-14400.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",50.0,,2.1
67,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,
68,stations,100.0,200,-6.12,141.3,1562640133.0,2093846.0,1003.94,70.0,1010.76,1010.76,301.673,301.673,301.673,,Kiunga,,0.375,PG,,0.0069,1562618774.0,1562661190.0,,36000.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",140.326,,1.62
69,stations,75.0,200,45.53,12.3,1562640133.0,3173529.0,,88.0,1012.0,,292.65,294.82,289.82,,Dese,,,IT,6779.0,0.0085,1562643047.0,1562698843.0,1.0,7200.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",40.0,,4.6
70,stations,100.0,200,13.21,18.34,1562640134.0,2436400.0,976.97,67.0,1013.83,1013.83,297.623,297.623,297.623,,Ati,,5.438,TD,,0.0089,1562646340.0,1562692650.0,,3600.0,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",234.833,,6.36
71,stations,40.0,200,-7.06,-36.37,1562640134.0,3387258.0,,83.0,1020.0,,294.15,294.15,294.15,,Soledade,,,BR,8392.0,0.008,1562575106.0,1562617330.0,1.0,-10800.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",170.0,,5.1
72,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,
73,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,
74,stations,20.0,200,-18.17,49.38,1562640134.0,1053384.0,,100.0,1017.0,,292.15,292.15,292.15,,Toamasina,,,MG,2139.0,0.007,1562642083.0,1562682007.0,1.0,10800.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",277.467,,0.98
75,stations,100.0,200,65.28,-126.83,1562640135.0,6089245.0,978.3,52.0,1017.33,1017.33,287.803,287.803,287.803,,Norman Wells,,,CA,,0.0066,1562579687.0,1562656175.0,,-21600.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",358.684,,0.83
